clump,Number of Adult Female Seals,Number of Baby Seals,Number of Adult Male Seals,Total Number of Seals
LS21323_DJI_0896_clump_0003,,,,
LS21323_DJI_0896_clump_0004,,,,
LS21323_DJI_0896_clump_0005,,,,
LS21323_DJI_0896_clump_0006,,,,
LS21323_DJI_0896_clump_0007,,,,
LS21323_DJI_0896_clump_0008,,,,
LS21323_DJI_0896_clump_0009,,,,
LS21323_DJI_0896_clump_0010,,,,
LS21323_DJI_0896_clump_0011,,,,
LS21323_DJI_0896_clump_0012,,,,
LS21323_DJI_0896_clump_0013,,,,
LS21323_DJI_0896_clump_0014,,,,
LS21323_DJI_0896_clump_0015,,,,
LS21323_DJI_0896_clump_0016,,,,
LS21323_DJI_0896_clump_0017,,,,
LS21323_DJI_0896_clump_0018,,,,
LS21323_DJI_0896_clump_0019,,,,
LS21323_DJI_0896_clump_0020,,,,
LS21323_DJI_0896_clump_0021,,,,
LS21323_DJI_0896_clump_0022,,,,
LS21323_DJI_0896_clump_0023,,,,
LS21323_DJI_0896_clump_0024,,,,
LS21323_DJI_0896_clump_0025,,,,
LS21323_DJI_0896_clump_0026,,,,
LS21323_DJI_0896_clump_0027,,,,
LS21323_DJI_0896_clump_0028,,,,
LS21323_DJI_0896_clump_0029,,,,
LS21323_DJI_0896_clump_0030,,,,
LS21323_DJI_0896_clump_0031,,,,
LS21323_DJI_0896_clump_0032,,,,
LS21323_DJI_0896_clump_0033,,,,
LS21323_DJI_0896_clump_0034,,,,
LS21323_DJI_0896_clump_0035,,,,
LS21323_DJI_0897_clump_0001,,,,
LS21323_DJI_0897_clump_0002,,,,
LS21323_DJI_0897_clump_0003,,,,
LS21323_DJI_0897_clump_0004,,,,
LS21323_DJI_0897_clump_0005,,,,
LS21323_DJI_0897_clump_0006,,,,
LS21323_DJI_0897_clump_0007,,,,
LS21323_DJI_0897_clump_0008,,,,
LS21323_DJI_0897_clump_0009,,,,
LS21323_DJI_0897_clump_0010,,,,
LS21323_DJI_0897_clump_0011,,,,
LS21323_DJI_0897_clump_0012,,,,
LS21323_DJI_0897_clump_0013,,,,
LS21323_DJI_0897_clump_0014,,,,
LS21323_DJI_0897_clump_0015,,,,
LS21323_DJI_0897_clump_0016,,,,
LS21323_DJI_0897_clump_0017,,,,
LS21323_DJI_0897_clump_0018,,,,
LS21323_DJI_0897_clump_0019,,,,
LS21323_DJI_0897_clump_0020,,,,
LS21323_DJI_0897_clump_0021,,,,
LS21323_DJI_0897_clump_0022,,,,
LS21323_DJI_0897_clump_0023,,,,
LS21323_DJI_0897_clump_0024,,,,
LS21323_DJI_0897_clump_0025,,,,
LS21323_DJI_0897_clump_0026,,,,
LS21323_DJI_0897_clump_0027,,,,
LS21323_DJI_0897_clump_0028,,,,
LS21323_DJI_0897_clump_0029,,,,
LS21323_DJI_0897_clump_0030,,,,
LS21323_DJI_0897_clump_0031,,,,
LS21323_DJI_0897_clump_0032,,,,
LS21323_DJI_0897_clump_0033,,,,
LS21323_DJI_0897_clump_0034,,,,
LS21323_DJI_0897_clump_0035,,,,
LS21323_DJI_0897_clump_0036,,,,
LS21323_DJI_0897_clump_0037,,,,
LS21323_DJI_0897_clump_0038,,,,
LS21323_DJI_0897_clump_0039,,,,
LS21323_DJI_0897_clump_0040,,,,
LS21323_DJI_0897_clump_0041,,,,
LS21323_DJI_0898_clump_0001,,,,
LS21323_DJI_0898_clump_0002,,,,
LS21323_DJI_0898_clump_0003,,,,
LS21323_DJI_0898_clump_0004,,,,
LS21323_DJI_0898_clump_0005,,,,
LS21323_DJI_0898_clump_0006,,,,
LS21323_DJI_0898_clump_0007,,,,
LS21323_DJI_0898_clump_0008,,,,
LS21323_DJI_0898_clump_0009,,,,
LS21323_DJI_0898_clump_0010,,,,
LS21323_DJI_0898_clump_0011,,,,
LS21323_DJI_0898_clump_0012,,,,
LS21323_DJI_0898_clump_0013,,,,
LS21323_DJI_0898_clump_0014,,,,
LS21323_DJI_0898_clump_0015,,,,
LS21323_DJI_0898_clump_0016,,,,
LS21323_DJI_0898_clump_0017,,,,
LS21323_DJI_0898_clump_0018,,,,
LS21323_DJI_0898_clump_0019,,,,
LS21323_DJI_0898_clump_0020,,,,
LS21323_DJI_0898_clump_0021,,,,
LS21323_DJI_0898_clump_0022,,,,
LS21323_DJI_0898_clump_0023,,,,
LS21323_DJI_0898_clump_0024,,,,
LS21323_DJI_0898_clump_0025,,,,
LS21323_DJI_0898_clump_0026,,,,
LS21323_DJI_0898_clump_0027,,,,
LS21323_DJI_0898_clump_0028,,,,
LS21323_DJI_0898_clump_0029,,,,
LS21323_DJI_0898_clump_0030,,,,
LS21323_DJI_0898_clump_0031,,,,
LS21323_DJI_0898_clump_0032,,,,
LS21323_DJI_0898_clump_0033,,,,
LS21323_DJI_0898_clump_0034,,,,
LS21323_DJI_0898_clump_0035,,,,
LS21323_DJI_0898_clump_0036,,,,
LS21323_DJI_0899_clump_0001,,,,
LS21323_DJI_0899_clump_0002,,,,
LS21323_DJI_0899_clump_0003,,,,
LS21323_DJI_0899_clump_0004,,,,
LS21323_DJI_0899_clump_0005,,,,
LS21323_DJI_0899_clump_0006,,,,
LS21323_DJI_0899_clump_0007,,,,
LS21323_DJI_0899_clump_0008,,,,
LS21323_DJI_0899_clump_0009,,,,
LS21323_DJI_0899_clump_0010,,,,
LS21323_DJI_0899_clump_0011,,,,
LS21323_DJI_0899_clump_0012,,,,
LS21323_DJI_0899_clump_0013,,,,
LS21323_DJI_0899_clump_0014,,,,
LS21323_DJI_0899_clump_0015,,,,
LS21323_DJI_0899_clump_0016,,,,
LS21323_DJI_0899_clump_0017,,,,
LS21323_DJI_0899_clump_0018,,,,
LS21323_DJI_0899_clump_0019,,,,
LS21323_DJI_0899_clump_0020,,,,
LS21323_DJI_0899_clump_0021,,,,
LS21323_DJI_0899_clump_0022,,,,
LS21323_DJI_0899_clump_0023,,,,
LS21323_DJI_0899_clump_0024,,,,
LS21323_DJI_0899_clump_0025,,,,
LS21323_DJI_0899_clump_0026,,,,
LS21323_DJI_0899_clump_0027,,,,
LS21323_DJI_0899_clump_0028,,,,
LS21323_DJI_0899_clump_0029,,,,
LS21323_DJI_0899_clump_0030,,,,
LS21323_DJI_0899_clump_0031,,,,
LS21323_DJI_0899_clump_0032,,,,
LS21323_DJI_0899_clump_0033,,,,
LS21323_DJI_0899_clump_0034,,,,
LS21323_DJI_0899_clump_0035,,,,
LS21323_DJI_0899_clump_0036,,,,
LS21323_DJI_0899_clump_0037,,,,
LS21323_DJI_0899_clump_0038,,,,
LS21323_DJI_0899_clump_0039,,,,
LS21323_DJI_0899_clump_0040,,,,
LS21323_DJI_0900_clump_0001,,,,
LS21323_DJI_0900_clump_0002,,,,
LS21323_DJI_0900_clump_0003,,,,
LS21323_DJI_0900_clump_0004,,,,
LS21323_DJI_0900_clump_0005,,,,
LS21323_DJI_0900_clump_0006,,,,
LS21323_DJI_0900_clump_0007,,,,
LS21323_DJI_0900_clump_0008,,,,
LS21323_DJI_0900_clump_0009,,,,
LS21323_DJI_0900_clump_0010,,,,
LS21323_DJI_0900_clump_0011,,,,
LS21323_DJI_0900_clump_0012,,,,
LS21323_DJI_0900_clump_0013,,,,
LS21323_DJI_0900_clump_0014,,,,
LS21323_DJI_0900_clump_0015,,,,
LS21323_DJI_0900_clump_0016,,,,
LS21323_DJI_0900_clump_0017,,,,
LS21323_DJI_0900_clump_0018,,,,
LS21323_DJI_0900_clump_0019,,,,
LS21323_DJI_0900_clump_0020,,,,
LS21323_DJI_0900_clump_0021,,,,
LS21323_DJI_0900_clump_0022,,,,
LS21323_DJI_0900_clump_0023,,,,
LS21323_DJI_0900_clump_0024,,,,
LS21323_DJI_0900_clump_0025,,,,
LS21323_DJI_0900_clump_0026,,,,
LS21323_DJI_0900_clump_0027,,,,
LS21323_DJI_0900_clump_0028,,,,
LS21323_DJI_0900_clump_0029,,,,
LS21323_DJI_0900_clump_0030,,,,
LS21323_DJI_0900_clump_0031,,,,
LS21323_DJI_0900_clump_0032,,,,
LS21323_DJI_0900_clump_0033,,,,
LS21323_DJI_0900_clump_0034,,,,
LS21323_DJI_0900_clump_0035,,,,
LS21323_DJI_0900_clump_0036,,,,
LS21323_DJI_0901_clump_0001,,,,
LS21323_DJI_0901_clump_0002,,,,
LS21323_DJI_0901_clump_0003,,,,
LS21323_DJI_0901_clump_0004,,,,
LS21323_DJI_0901_clump_0005,,,,
LS21323_DJI_0901_clump_0006,,,,
LS21323_DJI_0901_clump_0007,,,,
LS21323_DJI_0901_clump_0008,,,,
LS21323_DJI_0901_clump_0009,,,,
LS21323_DJI_0901_clump_0010,,,,
LS21323_DJI_0901_clump_0011,,,,
LS21323_DJI_0901_clump_0012,,,,
LS21323_DJI_0901_clump_0013,,,,
LS21323_DJI_0901_clump_0014,,,,
LS21323_DJI_0901_clump_0015,,,,
LS21323_DJI_0901_clump_0016,,,,
LS21323_DJI_0901_clump_0017,,,,
LS21323_DJI_0901_clump_0018,,,,
LS21323_DJI_0901_clump_0019,,,,
LS21323_DJI_0901_clump_0020,,,,
LS21323_DJI_0901_clump_0021,,,,
LS21323_DJI_0901_clump_0022,,,,
LS21323_DJI_0901_clump_0023,,,,
LS21323_DJI_0901_clump_0024,,,,
LS21323_DJI_0901_clump_0025,,,,
LS21323_DJI_0901_clump_0026,,,,
LS21323_DJI_0901_clump_0027,,,,
LS21323_DJI_0901_clump_0028,,,,
LS21323_DJI_0901_clump_0029,,,,
LS21323_DJI_0901_clump_0030,,,,
LS21323_DJI_0901_clump_0031,,,,
LS21323_DJI_0902_clump_0001,,,,
LS21323_DJI_0902_clump_0002,,,,
LS21323_DJI_0902_clump_0003,,,,
LS21323_DJI_0902_clump_0004,,,,
LS21323_DJI_0902_clump_0005,,,,
LS21323_DJI_0902_clump_0006,,,,
LS21323_DJI_0902_clump_0007,,,,
LS21323_DJI_0902_clump_0008,,,,
LS21323_DJI_0902_clump_0009,,,,
LS21323_DJI_0902_clump_0010,,,,
LS21323_DJI_0902_clump_0011,,,,
LS21323_DJI_0902_clump_0012,,,,
LS21323_DJI_0902_clump_0013,,,,
LS21323_DJI_0902_clump_0014,,,,
LS21323_DJI_0902_clump_0015,,,,
LS21323_DJI_0902_clump_0016,,,,
LS21323_DJI_0902_clump_0017,,,,
LS21323_DJI_0902_clump_0018,,,,
LS21323_DJI_0902_clump_0019,,,,
LS21323_DJI_0902_clump_0020,,,,
LS21323_DJI_0902_clump_0021,,,,
LS21323_DJI_0902_clump_0022,,,,
LS21323_DJI_0902_clump_0023,,,,
LS21323_DJI_0902_clump_0024,,,,
LS21323_DJI_0902_clump_0025,,,,
LS21323_DJI_0902_clump_0026,,,,
LS21323_DJI_0902_clump_0027,,,,
LS21323_DJI_0902_clump_0028,,,,
LS21323_DJI_0902_clump_0029,,,,
LS21323_DJI_0902_clump_0030,,,,
LS21323_DJI_0902_clump_0031,,,,
LS21323_DJI_0902_clump_0032,,,,
LS21323_DJI_0903_clump_0001,,,,
LS21323_DJI_0903_clump_0002,,,,
LS21323_DJI_0903_clump_0003,,,,
LS21323_DJI_0903_clump_0004,,,,
LS21323_DJI_0903_clump_0005,,,,
LS21323_DJI_0903_clump_0006,,,,
LS21323_DJI_0903_clump_0007,,,,
LS21323_DJI_0903_clump_0008,,,,
LS21323_DJI_0903_clump_0009,,,,
LS21323_DJI_0903_clump_0010,,,,
LS21323_DJI_0903_clump_0011,,,,
LS21323_DJI_0903_clump_0012,,,,
LS21323_DJI_0903_clump_0013,,,,
LS21323_DJI_0903_clump_0014,,,,
LS21323_DJI_0903_clump_0015,,,,
LS21323_DJI_0903_clump_0016,,,,
LS21323_DJI_0903_clump_0017,,,,
LS21323_DJI_0903_clump_0018,,,,
LS21323_DJI_0903_clump_0019,,,,
LS21323_DJI_0903_clump_0020,,,,
LS21323_DJI_0903_clump_0021,,,,
LS21323_DJI_0903_clump_0022,,,,
LS21323_DJI_0903_clump_0023,,,,
LS21323_DJI_0903_clump_0024,,,,
LS21323_DJI_0903_clump_0025,,,,
LS21323_DJI_0903_clump_0026,,,,
LS21323_DJI_0903_clump_0027,,,,
LS21323_DJI_0903_clump_0028,,,,
LS21323_DJI_0903_clump_0029,,,,
LS21323_DJI_0903_clump_0030,,,,
LS21323_DJI_0903_clump_0031,,,,
LS21323_DJI_0903_clump_0032,,,,
LS21323_DJI_0903_clump_0033,,,,
LS21323_DJI_0903_clump_0034,,,,
LS21323_DJI_0903_clump_0035,,,,
LS21323_DJI_0903_clump_0036,,,,
LS21323_DJI_0903_clump_0037,,,,
LS21323_DJI_0904_clump_0001,,,,
LS21323_DJI_0904_clump_0002,,,,
LS21323_DJI_0904_clump_0003,,,,
LS21323_DJI_0904_clump_0004,,,,
LS21323_DJI_0904_clump_0005,,,,
LS21323_DJI_0904_clump_0006,,,,
LS21323_DJI_0904_clump_0007,,,,
LS21323_DJI_0904_clump_0008,,,,
LS21323_DJI_0904_clump_0009,,,,
LS21323_DJI_0904_clump_0010,,,,
LS21323_DJI_0904_clump_0011,,,,
LS21323_DJI_0904_clump_0012,,,,
LS21323_DJI_0904_clump_0013,,,,
LS21323_DJI_0904_clump_0014,,,,
LS21323_DJI_0904_clump_0015,,,,
LS21323_DJI_0904_clump_0016,,,,
LS21323_DJI_0904_clump_0017,,,,
LS21323_DJI_0904_clump_0018,,,,
LS21323_DJI_0904_clump_0019,,,,
LS21323_DJI_0904_clump_0020,,,,
LS21323_DJI_0904_clump_0021,,,,
LS21323_DJI_0904_clump_0022,,,,
LS21323_DJI_0904_clump_0023,,,,
LS21323_DJI_0904_clump_0024,,,,
LS21323_DJI_0904_clump_0025,,,,
LS21323_DJI_0904_clump_0026,,,,
LS21323_DJI_0904_clump_0027,,,,
LS21323_DJI_0904_clump_0028,,,,
LS21323_DJI_0905_clump_0001,,,,
LS21323_DJI_0905_clump_0002,,,,
LS21323_DJI_0905_clump_0003,,,,
LS21323_DJI_0905_clump_0004,,,,
LS21323_DJI_0905_clump_0005,,,,
LS21323_DJI_0905_clump_0006,,,,
LS21323_DJI_0905_clump_0007,,,,
LS21323_DJI_0905_clump_0008,,,,
LS21323_DJI_0905_clump_0009,,,,
LS21323_DJI_0905_clump_0010,,,,
LS21323_DJI_0905_clump_0011,,,,
LS21323_DJI_0905_clump_0012,,,,
LS21323_DJI_0905_clump_0013,,,,
LS21323_DJI_0905_clump_0014,,,,
LS21323_DJI_0905_clump_0015,,,,
LS21323_DJI_0905_clump_0016,,,,
LS21323_DJI_0905_clump_0017,,,,
LS21323_DJI_0905_clump_0018,,,,
LS21323_DJI_0905_clump_0019,,,,
LS21323_DJI_0905_clump_0020,,,,
LS21323_DJI_0905_clump_0021,,,,
LS21323_DJI_0905_clump_0022,,,,
LS21323_DJI_0905_clump_0023,,,,
LS21323_DJI_0905_clump_0024,,,,
LS21323_DJI_0905_clump_0025,,,,
LS21323_DJI_0905_clump_0026,,,,
LS21323_DJI_0905_clump_0027,,,,
LS21323_DJI_0905_clump_0028,,,,
LS21323_DJI_0905_clump_0029,,,,
LS21323_DJI_0906_clump_0001,,,,
LS21323_DJI_0906_clump_0002,,,,
LS21323_DJI_0906_clump_0003,,,,
LS21323_DJI_0906_clump_0004,,,,
LS21323_DJI_0906_clump_0005,,,,
LS21323_DJI_0906_clump_0006,,,,
LS21323_DJI_0906_clump_0007,,,,
LS21323_DJI_0906_clump_0008,,,,
LS21323_DJI_0906_clump_0009,,,,
LS21323_DJI_0906_clump_0010,,,,
LS21323_DJI_0906_clump_0011,,,,
LS21323_DJI_0906_clump_0012,,,,
LS21323_DJI_0906_clump_0013,,,,
LS21323_DJI_0906_clump_0014,,,,
LS21323_DJI_0906_clump_0015,,,,
LS21323_DJI_0906_clump_0016,,,,
LS21323_DJI_0906_clump_0017,,,,
LS21323_DJI_0906_clump_0018,,,,
LS21323_DJI_0906_clump_0019,,,,
LS21323_DJI_0906_clump_0020,,,,
LS21323_DJI_0906_clump_0021,,,,
LS21323_DJI_0906_clump_0022,,,,
LS21323_DJI_0906_clump_0023,,,,
LS21323_DJI_0906_clump_0024,,,,
LS21323_DJI_0906_clump_0025,,,,
LS21323_DJI_0906_clump_0026,,,,
LS21323_DJI_0906_clump_0027,,,,
LS21323_DJI_0906_clump_0028,,,,
LS21323_DJI_0906_clump_0029,,,,
LS21323_DJI_0907_clump_0001,,,,
LS21323_DJI_0907_clump_0002,,,,
LS21323_DJI_0907_clump_0003,,,,
LS21323_DJI_0907_clump_0004,,,,
LS21323_DJI_0907_clump_0005,,,,
LS21323_DJI_0907_clump_0006,,,,
LS21323_DJI_0907_clump_0007,,,,
LS21323_DJI_0907_clump_0008,,,,
LS21323_DJI_0907_clump_0009,,,,
LS21323_DJI_0907_clump_0010,,,,
LS21323_DJI_0907_clump_0011,,,,
LS21323_DJI_0907_clump_0012,,,,
LS21323_DJI_0907_clump_0013,,,,
LS21323_DJI_0907_clump_0014,,,,
LS21323_DJI_0907_clump_0015,,,,
LS21323_DJI_0907_clump_0016,,,,
LS21323_DJI_0907_clump_0017,,,,
LS21323_DJI_0907_clump_0018,,,,
LS21323_DJI_0907_clump_0019,,,,
LS21323_DJI_0907_clump_0020,,,,
LS21323_DJI_0907_clump_0021,,,,
LS21323_DJI_0907_clump_0022,,,,
LS21323_DJI_0907_clump_0023,,,,
LS21323_DJI_0907_clump_0024,,,,
LS21323_DJI_0907_clump_0025,,,,
LS21323_DJI_0907_clump_0026,,,,
LS21323_DJI_0907_clump_0027,,,,
LS21323_DJI_0907_clump_0028,,,,
LS21323_DJI_0907_clump_0029,,,,
LS21323_DJI_0907_clump_0030,,,,
LS21323_DJI_0907_clump_0031,,,,
LS21323_DJI_0907_clump_0032,,,,
LS21323_DJI_0907_clump_0033,,,,
LS21323_DJI_0907_clump_0034,,,,
LS21323_DJI_0908_clump_0001,,,,
LS21323_DJI_0908_clump_0002,,,,
LS21323_DJI_0908_clump_0003,,,,
LS21323_DJI_0908_clump_0004,,,,
LS21323_DJI_0908_clump_0005,,,,
LS21323_DJI_0908_clump_0006,,,,
LS21323_DJI_0908_clump_0007,,,,
LS21323_DJI_0908_clump_0008,,,,
LS21323_DJI_0908_clump_0009,,,,
LS21323_DJI_0908_clump_0010,,,,
LS21323_DJI_0908_clump_0011,,,,
LS21323_DJI_0908_clump_0012,,,,
LS21323_DJI_0908_clump_0013,,,,
LS21323_DJI_0908_clump_0014,,,,
LS21323_DJI_0908_clump_0015,,,,
LS21323_DJI_0908_clump_0016,,,,
LS21323_DJI_0908_clump_0017,,,,
LS21323_DJI_0908_clump_0018,,,,
LS21323_DJI_0908_clump_0019,,,,
LS21323_DJI_0908_clump_0020,,,,
LS21323_DJI_0908_clump_0021,,,,
LS21323_DJI_0908_clump_0022,,,,
LS21323_DJI_0908_clump_0023,,,,
LS21323_DJI_0908_clump_0024,,,,
LS21323_DJI_0908_clump_0025,,,,
LS21323_DJI_0908_clump_0026,,,,
LS21323_DJI_0908_clump_0027,,,,
LS21323_DJI_0908_clump_0028,,,,
LS21323_DJI_0908_clump_0029,,,,
LS21323_DJI_0908_clump_0030,,,,
LS21323_DJI_0908_clump_0031,,,,
LS21323_DJI_0908_clump_0032,,,,
LS21323_DJI_0908_clump_0033,,,,
LS21323_DJI_0908_clump_0034,,,,
LS21323_DJI_0908_clump_0035,,,,
LS21323_DJI_0908_clump_0036,,,,
LS21323_DJI_0908_clump_0037,,,,
LS21323_DJI_0908_clump_0038,,,,
LS21323_DJI_0908_clump_0039,,,,
LS21323_DJI_0908_clump_0040,,,,
LS21323_DJI_0909_clump_0001,,,,
LS21323_DJI_0909_clump_0002,,,,
LS21323_DJI_0909_clump_0003,,,,
LS21323_DJI_0909_clump_0004,,,,
LS21323_DJI_0909_clump_0005,,,,
LS21323_DJI_0909_clump_0006,,,,
LS21323_DJI_0909_clump_0007,,,,
LS21323_DJI_0909_clump_0008,,,,
LS21323_DJI_0909_clump_0009,,,,
LS21323_DJI_0909_clump_0010,,,,
LS21323_DJI_0909_clump_0011,,,,
LS21323_DJI_0909_clump_0012,,,,
LS21323_DJI_0909_clump_0013,,,,
LS21323_DJI_0909_clump_0014,,,,
LS21323_DJI_0909_clump_0015,,,,
LS21323_DJI_0909_clump_0016,,,,
LS21323_DJI_0909_clump_0017,,,,
LS21323_DJI_0909_clump_0018,,,,
LS21323_DJI_0909_clump_0019,,,,
LS21323_DJI_0909_clump_0020,,,,
LS21323_DJI_0909_clump_0021,,,,
LS21323_DJI_0909_clump_0022,,,,
LS21323_DJI_0909_clump_0023,,,,
LS21323_DJI_0909_clump_0024,,,,
LS21323_DJI_0909_clump_0025,,,,
LS21323_DJI_0909_clump_0026,,,,
LS21323_DJI_0909_clump_0027,,,,
LS21323_DJI_0909_clump_0028,,,,
LS21323_DJI_0909_clump_0029,,,,
LS21323_DJI_0909_clump_0030,,,,
LS21323_DJI_0909_clump_0031,,,,
LS21323_DJI_0909_clump_0032,,,,
LS21323_DJI_0909_clump_0033,,,,
LS21323_DJI_0909_clump_0034,,,,
LS21323_DJI_0909_clump_0035,,,,
LS21323_DJI_0909_clump_0036,,,,
LS21323_DJI_0909_clump_0037,,,,
LS21323_DJI_0910_clump_0001,,,,
LS21323_DJI_0910_clump_0002,,,,
LS21323_DJI_0910_clump_0003,,,,
LS21323_DJI_0910_clump_0004,,,,
LS21323_DJI_0910_clump_0005,,,,
LS21323_DJI_0910_clump_0006,,,,
LS21323_DJI_0910_clump_0007,,,,
LS21323_DJI_0910_clump_0008,,,,
LS21323_DJI_0910_clump_0009,,,,
LS21323_DJI_0910_clump_0010,,,,
LS21323_DJI_0910_clump_0011,,,,
LS21323_DJI_0910_clump_0012,,,,
LS21323_DJI_0910_clump_0013,,,,
LS21323_DJI_0910_clump_0014,,,,
LS21323_DJI_0910_clump_0015,,,,
LS21323_DJI_0910_clump_0016,,,,
LS21323_DJI_0910_clump_0017,,,,
LS21323_DJI_0910_clump_0018,,,,
LS21323_DJI_0910_clump_0019,,,,
LS21323_DJI_0910_clump_0020,,,,
LS21323_DJI_0910_clump_0021,,,,
LS21323_DJI_0910_clump_0022,,,,
LS21323_DJI_0910_clump_0023,,,,
LS21323_DJI_0910_clump_0024,,,,
LS21323_DJI_0910_clump_0025,,,,
LS21323_DJI_0910_clump_0026,,,,
LS21323_DJI_0910_clump_0027,,,,
LS21323_DJI_0910_clump_0028,,,,
LS21323_DJI_0910_clump_0029,,,,
LS21323_DJI_0910_clump_0030,,,,
LS21323_DJI_0910_clump_0031,,,,
LS21323_DJI_0910_clump_0032,,,,
LS21323_DJI_0910_clump_0033,,,,
LS21323_DJI_0910_clump_0034,,,,
LS21323_DJI_0910_clump_0035,,,,
LS21323_DJI_0910_clump_0036,,,,
LS21323_DJI_0910_clump_0037,,,,
LS21323_DJI_0911_clump_0001,,,,
LS21323_DJI_0911_clump_0002,,,,
LS21323_DJI_0911_clump_0003,,,,
LS21323_DJI_0911_clump_0004,,,,
LS21323_DJI_0911_clump_0005,,,,
LS21323_DJI_0911_clump_0006,,,,
LS21323_DJI_0911_clump_0007,,,,
LS21323_DJI_0911_clump_0008,,,,
LS21323_DJI_0911_clump_0009,,,,
LS21323_DJI_0911_clump_0010,,,,
LS21323_DJI_0911_clump_0011,,,,
LS21323_DJI_0911_clump_0012,,,,
LS21323_DJI_0911_clump_0013,,,,
LS21323_DJI_0911_clump_0014,,,,
LS21323_DJI_0911_clump_0015,,,,
LS21323_DJI_0911_clump_0016,,,,
LS21323_DJI_0911_clump_0017,,,,
LS21323_DJI_0911_clump_0018,,,,
LS21323_DJI_0911_clump_0019,,,,
LS21323_DJI_0911_clump_0020,,,,
LS21323_DJI_0911_clump_0021,,,,
LS21323_DJI_0911_clump_0022,,,,
LS21323_DJI_0911_clump_0023,,,,
LS21323_DJI_0911_clump_0024,,,,
LS21323_DJI_0911_clump_0025,,,,
LS21323_DJI_0911_clump_0026,,,,
LS21323_DJI_0911_clump_0027,,,,
LS21323_DJI_0911_clump_0028,,,,
LS21323_DJI_0911_clump_0029,,,,
LS21323_DJI_0911_clump_0030,,,,
LS21323_DJI_0911_clump_0031,,,,
LS21323_DJI_0911_clump_0032,,,,
LS21323_DJI_0911_clump_0033,,,,
LS21323_DJI_0911_clump_0034,,,,
LS21323_DJI_0911_clump_0035,,,,
LS21323_DJI_0911_clump_0036,,,,
LS21323_DJI_0911_clump_0037,,,,
LS21323_DJI_0911_clump_0038,,,,
LS21323_DJI_0911_clump_0039,,,,
LS21323_DJI_0911_clump_0040,,,,
LS21323_DJI_0911_clump_0041,,,,
LS21323_DJI_0911_clump_0042,,,,
LS21323_DJI_0911_clump_0043,,,,
LS21323_DJI_0911_clump_0044,,,,
LS21323_DJI_0912_clump_0001,,,,
LS21323_DJI_0912_clump_0002,,,,
LS21323_DJI_0912_clump_0003,,,,
LS21323_DJI_0912_clump_0004,,,,
LS21323_DJI_0912_clump_0005,,,,
LS21323_DJI_0912_clump_0006,,,,
LS21323_DJI_0912_clump_0007,,,,
LS21323_DJI_0912_clump_0008,,,,
LS21323_DJI_0912_clump_0009,,,,
LS21323_DJI_0912_clump_0010,,,,
LS21323_DJI_0912_clump_0011,,,,
LS21323_DJI_0912_clump_0012,,,,
LS21323_DJI_0912_clump_0013,,,,
LS21323_DJI_0912_clump_0014,,,,
LS21323_DJI_0912_clump_0015,,,,
LS21323_DJI_0912_clump_0016,,,,
LS21323_DJI_0912_clump_0017,,,,
LS21323_DJI_0912_clump_0018,,,,
LS21323_DJI_0912_clump_0019,,,,
LS21323_DJI_0912_clump_0020,,,,
LS21323_DJI_0912_clump_0021,,,,
LS21323_DJI_0912_clump_0022,,,,
LS21323_DJI_0912_clump_0023,,,,
LS21323_DJI_0912_clump_0024,,,,
LS21323_DJI_0912_clump_0025,,,,
LS21323_DJI_0912_clump_0026,,,,
LS21323_DJI_0912_clump_0027,,,,
LS21323_DJI_0912_clump_0028,,,,
LS21323_DJI_0912_clump_0029,,,,
LS21323_DJI_0912_clump_0030,,,,
LS21323_DJI_0912_clump_0031,,,,
LS21323_DJI_0912_clump_0032,,,,
LS21323_DJI_0912_clump_0033,,,,
LS21323_DJI_0912_clump_0034,,,,
LS21323_DJI_0912_clump_0035,,,,
LS21323_DJI_0912_clump_0036,,,,
LS21323_DJI_0912_clump_0037,,,,
LS21323_DJI_0912_clump_0038,,,,
LS21323_DJI_0912_clump_0039,,,,
LS21323_DJI_0912_clump_0040,,,,
LS21323_DJI_0912_clump_0041,,,,
LS21323_DJI_0912_clump_0042,,,,
LS21323_DJI_0912_clump_0043,,,,
LS21323_DJI_0912_clump_0044,,,,
LS21323_DJI_0912_clump_0045,,,,
LS21323_DJI_0912_clump_0046,,,,
LS21323_DJI_0913_clump_0001,,,,
LS21323_DJI_0913_clump_0002,,,,
LS21323_DJI_0913_clump_0003,,,,
LS21323_DJI_0913_clump_0004,,,,
LS21323_DJI_0913_clump_0005,,,,
LS21323_DJI_0913_clump_0006,,,,
LS21323_DJI_0913_clump_0007,,,,
LS21323_DJI_0913_clump_0008,,,,
LS21323_DJI_0913_clump_0009,,,,
LS21323_DJI_0913_clump_0010,,,,
LS21323_DJI_0913_clump_0011,,,,
LS21323_DJI_0913_clump_0012,,,,
LS21323_DJI_0913_clump_0013,,,,
LS21323_DJI_0913_clump_0014,,,,
LS21323_DJI_0913_clump_0015,,,,
LS21323_DJI_0913_clump_0016,,,,
LS21323_DJI_0913_clump_0017,,,,
LS21323_DJI_0913_clump_0018,,,,
LS21323_DJI_0913_clump_0019,,,,
LS21323_DJI_0913_clump_0020,,,,
LS21323_DJI_0913_clump_0021,,,,
LS21323_DJI_0913_clump_0022,,,,
LS21323_DJI_0913_clump_0023,,,,
LS21323_DJI_0913_clump_0024,,,,
